label,number,directional,street_name,street_type,subaddress_id,subaddress_type,zip,status,lat,lon,x,y
839 NW 5TH ST,839,NORTHWEST,5TH,STREET,,,97526,Other,42.4466699458,-123.3239269769,-13728356.7537,5228125.055500001
829 NW 5TH ST,829,NORTHWEST,5TH,STREET,,,97526,Other,42.4464893752,-123.3240222747,-13728367.3622,5228097.814900003
823 NW 5TH ST,823,NORTHWEST,5TH,STREET,,,97526,Other,42.4462475842,-123.3241242515,-13728378.714200001,5228061.338799998
820 NW 6TH ST,820,NORTHWEST,6TH,STREET,,,97526,Other,42.4459836606,-123.3232572694,-13728282.2022,5228021.5239999965
1975 NW HIGHLAND AVE,1975,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4624219887,-123.332310649,-13729290.0198,5230501.686499998
1317 NW HIGHLAND AVE,1317,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4518764101,-123.3320888396,-13729265.3281,5228910.528399996
1310 NW HIGHLAND AVE,1310,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4515294463,-123.3326452642,-13729327.269000001,5228858.181699999
1337 NW HIGHLAND AVE,1337,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4525625976,-123.3320440344,-13729260.3404,5229014.054899998
1335 NW HIGHLAND AVE,1335,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4525371073,-123.3317407461,-13729226.578499999,5229010.209100001
1328 NW HIGHLAND AVE,1328,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4524439784,-123.3326946141,-13729332.762600001,5228996.158500001
1325 NW HIGHLAND AVE,1325,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4522853649,-123.3321477548,-13729271.886500001,5228972.228100002
912 NW HEWITT LN,912,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4520469766,-123.333811511,-13729457.094999999,5228936.262000002
910 NW HEWITT LN,910,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4521520029,-123.3335227548,-13729424.9508,5228952.107500002
908 NW HEWITT LN,908,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4521431662,-123.3330733761,-13729374.926199999,5228950.774300002
1324 NW HIGHLAND AVE,1324,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4521220437,-123.3326803928,-13729331.179499999,5228947.5874999985
911 NW HEWITT LN,911,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4516666116,-123.3337759593,-13729453.137400001,5228878.8759
909 NW HEWITT LN,909,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4515809674,-123.3334741469,-13729419.5398,5228865.954700001
907 NW HEWITT LN,907,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4516758533,-123.3330953911,-13729377.376899999,5228880.270199999
903 NW HEWITT LN,903,NORTHWEST,HEWITT,LANE,,,97526,Other,42.4517701837,-123.332747488,-13729338.6485,5228894.501900002
1300 NW HIGHLAND AVE,1300,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4512966772,-123.3329209689,-13729357.9603,5228823.0638
1246 NW HIGHLAND AVE,1246,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.451146773,-123.3330905995,-13729376.8435,5228800.447800003
1323 NW HIGHLAND AVE,1323,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4521610821,-123.3313949297,-13729188.0824,5228953.477300003
975 NW STARLITE PL,975,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4521851515,-123.3344845414,-13729532.0164,5228957.1087
1003 NW STARLITE PL,1003,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4518897434,-123.3352781032,-13729620.3553,5228912.539999999
995 NW STARLITE PL,995,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4514808284,-123.3344022997,-13729522.861299999,5228850.846699998
1000 NW STARLITE PL,1000,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4512153614,-123.3350494074,-13729594.897,5228810.795699999
917 NW HEATHWOOD PL,917,NORTHWEST,HEATHWOOD,PLACE,,,97526,Other,42.4543332065,-123.3336945055,-13729444.07,5229281.195500001
1390 NW HIGHLAND AVE,1390,NORTHWEST,HIGHLAND,AVENUE,,,97526,Other,42.4539183848,-123.3339932887,-13729477.330400001,5229218.608599998
948 NW STARLITE PL,948,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4534848389,-123.3358509652,-13729684.126,5229153.197099999
944 NW STARLITE PL,944,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4535406367,-123.3352840869,-13729621.0214,5229161.615599997
940 NW STARLITE PL,940,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4535345535,-123.3349319887,-13729581.826000001,5229160.697800003
934 NW STARLITE PL,934,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4534836611,-123.3344402509,-13729527.086,5229153.019400001
952 NW STARLITE PL,952,NORTHWEST,STARLITE,PLACE,,,97526,Other,42.4530441708,-123.3356471536,-13729661.437800001,5229086.7114999965
